Id,Bound
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,0
209,0
210,0
211,1
212,0
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,0
417,0
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,0
452,1
453,1
454,1
455,0
456,0
457,0
458,1
459,0
460,1
461,0
462,1
463,0
464,0
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,1
499,0
500,0
501,1
502,1
503,0
504,0
505,1
506,0
507,0
508,1
509,0
510,1
511,1
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,1
531,1
532,0
533,0
534,0
535,1
536,0
537,0
538,1
539,0
540,1
541,1
542,1
543,0
544,1
545,1
546,1
547,1
548,1
549,0
550,0
551,1
552,0
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,1
561,1
562,0
563,0
564,1
565,1
566,1
567,0
568,0
569,0
570,1
571,1
572,0
573,1
574,0
575,1
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,1
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,0
593,0
594,1
595,0
596,0
597,1
598,0
599,1
600,1
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,0
628,1
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,1
637,0
638,1
639,1
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,1
648,1
649,0
650,1
651,1
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,1
660,0
661,1
662,0
663,1
664,0
665,0
666,1
667,1
668,1
669,1
670,0
671,1
672,1
673,1
674,1
675,0
676,1
677,1
678,0
679,1
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,1
689,1
690,0
691,1
692,0
693,0
694,1
695,1
696,1
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,1
711,1
712,0
713,0
714,1
715,0
716,0
717,1
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,0
726,0
727,0
728,0
729,0
730,1
731,0
732,1
733,0
734,1
735,1
736,0
737,0
738,1
739,1
740,0
741,0
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,0
759,1
760,1
761,1
762,1
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,0
771,0
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,1
787,1
788,1
789,0
790,1
791,1
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,1
802,1
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,0
811,0
812,0
813,1
814,0
815,0
816,1
817,1
818,1
819,1
820,1
821,0
822,1
823,0
824,0
825,1
826,0
827,1
828,1
829,1
830,1
831,0
832,0
833,1
834,1
835,1
836,1
837,1
838,1
839,0
840,1
841,0
842,1
843,1
844,0
845,0
846,0
847,1
848,1
849,1
850,1
851,1
852,1
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,1
866,0
867,1
868,0
869,0
870,1
871,0
872,1
873,1
874,1
875,0
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,1
891,0
892,1
893,1
894,1
895,1
896,1
897,0
898,0
899,0
900,1
901,1
902,0
903,1
904,0
905,1
906,1
907,1
908,1
909,1
910,1
911,0
912,0
913,1
914,0
915,1
916,0
917,1
918,0
919,0
920,0
921,1
922,0
923,0
924,0
925,0
926,1
927,0
928,1
929,0
930,0
931,0
932,0
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,1
944,0
945,0
946,0
947,0
948,0
949,0
950,1
951,0
952,0
953,0
954,1
955,1
956,0
957,1
958,1
959,0
960,0
961,0
962,0
963,1
964,0
965,1
966,1
967,0
968,1
969,1
970,1
971,0
972,0
973,1
974,0
975,0
976,0
977,1
978,1
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,1
991,0
992,0
993,1
994,1
995,0
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,1
1018,1
1019,0
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,0
1027,1
1028,0
1029,0
1030,1
1031,0
1032,0
1033,0
1034,1
1035,1
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
1061,0
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,1
1069,1
1070,0
1071,1
1072,1
1073,1
1074,0
1075,0
1076,0
1077,1
1078,1
1079,0
1080,0
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,0
1091,0
1092,1
1093,0
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,1
1103,1
1104,0
1105,1
1106,1
1107,0
1108,0
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,1
1116,1
1117,1
1118,1
1119,0
1120,0
1121,0
1122,1
1123,1
1124,1
1125,0
1126,0
1127,1
1128,1
1129,0
1130,1
1131,1
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,1
1141,1
1142,1
1143,0
1144,0
1145,1
1146,0
1147,0
1148,0
1149,0
1150,1
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,1
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,1
1176,0
1177,0
1178,1
1179,0
1180,0
1181,0
1182,1
1183,1
1184,0
1185,1
1186,1
1187,1
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,1
1201,0
1202,0
1203,1
1204,1
1205,0
1206,1
1207,1
1208,0
1209,1
1210,0
1211,0
1212,1
1213,0
1214,1
1215,0
1216,0
1217,0
1218,1
1219,0
1220,1
1221,1
1222,0
1223,1
1224,1
1225,0
1226,0
1227,1
1228,1
1229,0
